Selected algorithm = PRIORITIZED_VALUE_ITERATION
Selected reward strategy = ONCEANDFORALL
Selected environment = Puzzle
Load classical B Machine
Load success
Exploration strategy = PREPROCESS
Start exploration
..............................Model Checking complete. No error nodes found.Total states: 181442

End of exploration 181441 | Exploration time: 14.784374045 seconds
Start learning (Prioritized Value Iteration)
Update 57000 | last delta: 29.260508596326996
Update 57100 | last delta: 29.251874682508284
Update 57200 | last delta: 29.24151832006019
Update 57300 | last delta: 29.232241485429036
Update 57400 | last delta: 29.219181016401176
Update 57500 | last delta: 29.23647384805024
Update 57600 | last delta: 29.196611473186866
Update 57700 | last delta: 29.188302747953728
Update 57800 | last delta: 29.179476211268806
Update 57900 | last delta: 29.168125311925504
Update 58000 | last delta: 29.15881322764748
Update 58100 | last delta: 29.148292719492108
Update 58200 | last delta: 29.138921840977854
Update 58300 | last delta: 29.133053681449105
Update 58400 | last delta: 29.125473070927566
Update 58500 | last delta: 29.11487821006342
Update 58600 | last delta: 29.100395276700848
Update 58700 | last delta: 29.088959819115388
Update 58800 | last delta: 29.077976898786535
Update 58900 | last delta: 29.217779434181
Update 59000 | last delta: 29.05570271120439
Update 59100 | last delta: 29.048686877993156
Update 59200 | last delta: 29.084631022661558
Update 59300 | last delta: 29.02649017732065
Update 59400 | last delta: 29.017220223609073
Update 59500 | last delta: 29.007583151235433
Update 59600 | last delta: 29.00096530620354
Update 59700 | last delta: 28.989897141428763
Update 59800 | last delta: 28.977843855191853
Update 59900 | last delta: 28.9635697853594
Update 60000 | last delta: 28.953174392831716
Update 60100 | last delta: 28.94164269106987
Update 60200 | last delta: 29.0383657817017
Update 60300 | last delta: 28.92095124398593
Update 60400 | last delta: 28.90960868625212
Update 60500 | last delta: 27.948969214487814
