Selected algorithm = PRIORITIZED_VALUE_ITERATION
Selected reward strategy = EMBEDDED
Selected environment = autoV2embedded
Load classical B Machine
Load success
Exploration strategy = RECURSIVE
Start exploration

End of exploration 2830 | Exploration time: 1.69909295 seconds
Start learning (Prioritized Value Iteration)
Update 42200 | last delta: 0.4899999996132465
Update 42300 | last delta: 0.4860400195357215
Update 42400 | last delta: 0.4518853853371638
Update 42500 | last delta: 0.45188538533511746
Update 42600 | last delta: 0.43743601758433215
Update 42700 | last delta: 0.43743601758251316
Update 42800 | last delta: 0.4066968468032428
Update 42900 | last delta: 0.401133613156162
Update 43000 | last delta: 0.39369241582426184
Update 43100 | last delta: 0.3767320297392871
Update 43200 | last delta: 0.36602716212200903
Update 43300 | last delta: 0.35720999971817946
Update 43400 | last delta: 0.35432317424147186
Update 43500 | last delta: 0.32942444591117237
Update 43600 | last delta: 0.3294244459084439
Update 43700 | last delta: 0.32491822665542713
Update 43800 | last delta: 0.3188908568181432
Update 43900 | last delta: 0.027665253701343318
Update 44000 | last delta: 0.296482001318509
Update 44100 | last delta: 0.2924264039893387
Update 44200 | last delta: 0.2870017711359196
Update 44300 | last delta: 0.2715832729882095
Update 44400 | last delta: 0.2668338011862943
Update 44500 | last delta: 0.2583015940235782
Update 44600 | last delta: 0.2471738847116285
Update 44700 | last delta: 0.24015042106930196
Update 44800 | last delta: 0.23707034477229172
Update 44900 | last delta: 0.2324714346214023
Update 45000 | last delta: 0.2224564962407385
Update 45100 | last delta: 0.2161353789624627
Update 45200 | last delta: 0.21336331029306166
Update 45300 | last delta: 0.2092242911593587
Update 45400 | last delta: 0.2002108466158461
Update 45500 | last delta: 0.19452184106580717
Update 45600 | last delta: 0.1920269792635736
Update 45700 | last delta: 0.18830186204286292
Update 45800 | last delta: 0.18018976195435243
Update 45900 | last delta: 0.17506965695892518
Update 46000 | last delta: 0.1728242813369434
Update 46100 | last delta: 0.16947167583839473
Update 46200 | last delta: 0.16217078575664345
Update 46300 | last delta: 0.15756269126268307
Update 46400 | last delta: 0.13727205742725346
Update 46500 | last delta: 0.1525245082539186
Update 46600 | last delta: 0.14595370717870537
Update 46700 | last delta: 0.1399876678851797
Update 46800 | last delta: 0.13727205743271043
Update 46900 | last delta: 0.13308951563794835
Update 47000 | last delta: 0.12762577992270963
Update 47100 | last delta: 0.12354485168617657
Update 47200 | last delta: 0.11822250281511515
Update 47300 | last delta: 0.11339001098622248
Update 47400 | last delta: 0.10965284544090537
Update 47500 | last delta: 0.10521692442534913
Update 47600 | last delta: 0.10007132986584111
Update 47700 | last delta: 0.09576022728106182
Update 47800 | last delta: 0.09184590889890387
Update 47900 | last delta: 0.08881880480430482
Update 48000 | last delta: 0.08511327232508847
Update 48100 | last delta: 0.08105777719174512
Update 48200 | last delta: 0.07756578409680515
Update 48300 | last delta: 0.07439518620776653
Update 48400 | last delta: 0.0707292252809566
Update 48500 | last delta: 0.0678255721086316
Update 48600 | last delta: 0.06565679952564096
Update 48700 | last delta: 0.06282828511757543
Update 48800 | last delta: 0.0590911195758963
Update 48900 | last delta: 0.05654545660581789
Update 49000 | last delta: 0.054234090745922
Update 49100 | last delta: 0.052446616048655414
Update 49200 | last delta: 0.047863806858003954
Update 49300 | last delta: 0.0452326825579803
Update 49400 | last delta: 0.043077426171294064
Update 49500 | last delta: 0.04070941430200037
Update 49600 | last delta: 0.03876968355325516
Update 49700 | last delta: 0.036638472871345584
Update 49800 | last delta: 0.03441022479040612
Update 49900 | last delta: 0.03297462558293773
Update 50000 | last delta: 0.030969202311354138
Update 50100 | last delta: 0.029677163023734465
Update 50200 | last delta: 0.026870574154600035
Update 50300 | last delta: 0.02543678937945515
Update 50400 | last delta: 0.02403850204882474
Update 50500 | last delta: 0.022893110441145836
Update 50600 | last delta: 0.02101139795695417
Update 50700 | last delta: 0.019471186658847728
Update 50800 | last delta: 0.017524067992781056
Update 50900 | last delta: 0.01577166119204776
Update 51000 | last delta: 0.014194495071933488
Update 51100 | last delta: 0.012024953075524536
Update 51200 | last delta: 0.010822457767062588
Execution time (Prioritized VI): 6.264587609 seconds
Total updates performed: 51286
Nb states discovered (env): 2830
Interactive play is only supported for TicTacToe. Skipping step-by-step display.
