Selected algorithm = PRIORITIZED_VALUE_ITERATION
Selected reward strategy = EMBEDDED
Selected environment = autoV2embedded
Load classical B Machine
Load success
Exploration strategy = PREPROCESS
Start exploration
.Model Checking complete. No error nodes found.Total states: 2831

End of exploration 2830 | Exploration time: 0.424768353 seconds
Start learning (Prioritized Value Iteration)
Update 49000 | last delta: 0.032999402759742225
Update 49100 | last delta: 0.0296994624841318
Update 49200 | last delta: 0.02672951623571862
Update 49300 | last delta: 0.02621099231782864
Update 49400 | last delta: 0.02378209023936506
Update 49500 | last delta: 0.021403881215519505
Update 49600 | last delta: 0.01926349309451325
Update 49700 | last delta: 0.017337143784970976
Update 49800 | last delta: 0.015603429405928182
Update 49900 | last delta: 0.014043086465790111
Update 50000 | last delta: 0.012638777818210656
Update 50100 | last delta: 0.010237410033369088
Execution time (Prioritized VI): 4.853672436 seconds
Total updates performed: 50148
Nb states discovered (env): 2830
Interactive play is only supported for TicTacToe. Skipping step-by-step display.
